1615820500,38.2411,-76.1291,9081.49
1615820550,38.2285,-76.1097,8680.52
1615820600,38.2159,-76.0915,8288.9
1615820650,38.2034,-76.074,7906.13
1615820700,38.1914,-76.0569,7531.72
1615820750,38.1798,-76.0397,7165.23
1615820800,38.1686,-76.0223,6806.26
1615820850,38.1574,-76.0049,6454.45
1615820900,38.146,-75.9881,6109.44
1615820950,38.1345,-75.9723,5770.93
1615821000,38.123,-75.9579,5438.62
1615821050,38.1118,-75.9447,5112.23
1615821100,38.1011,-75.9324,4791.52
1615821150,38.091,-75.9209,4476.24
1615821200,38.0814,-75.91,4166.17
1615821250,38.0723,-75.8996,3861.11
1615821300,38.0636,-75.89,3560.86
1615821350,38.0553,-75.8812,3265.24
1615821400,38.0473,-75.873,2974.06
1615821450,38.0395,-75.8651,2687.19
1615821500,38.0319,-75.8575,2404.45
1615821550,38.0242,-75.851,2125.7
1615821600,38.0163,-75.8464,1850.82
1615821650,38.0085,-75.8438,1579.66
1615821700,38.001,-75.8428,1312.11
1615821750,37.9938,-75.8432,1048.05
1615821800,37.988,-75.8435,787.368
1615821850,37.9835,-75.8433,529.962
1615821900,37.9793,-75.8429,275.731
1615821950,37.9753,-75.8423,24.5809
1615821955,37.975,-75.8423,-0.368208
